Question,Answer,Answer Key,A,B,C,D,E,Source
모구리의 순화어로 알맞은 것은?,잠수부(潛水夫),B,띠장재,잠수부(潛水夫),"구덩이 파기,
굿파기",기초콘크리트,"틀, 골",대한건설단체총연합회
모리쓰치의 순화어로 알맞은 것은?,"흙쌓기, 흙돋우기",A,"흙쌓기, 흙돋우기","부본(副本), 덧벌, 베낌벌","받침쇠, 와셔
(washer)",강모래,칸막이,대한건설단체총연합회
모야의 순화어로 알맞은 것은?,중도리,E,솔칠,못,벽돌나누기,"가득, 한껏",중도리,대한건설단체총연합회
모쿠네지의 순화어로 알맞은 것은?,나사못,B,모래,나사못,틀비계,외줄비계,강모래,대한건설단체총연합회
모쿠렌가의 순화어로 알맞은 것은?,나무벽돌,E,모접기,정 다듬(기),선틀,"너트, 암나사",나무벽돌,대한건설단체총연합회
무라나오시의 순화어로 알맞은 것은?,고름질,A,고름질,재칠,정 다듬(기),구멍철판,"경사, 물매",대한건설단체총연합회
무라도리의 순화어로 알맞은 것은?,얼룩빼기,D,줄떼,"발판, 비계",적층합판(積層合板),얼룩빼기,체질,대한건설단체총연합회
문하시라의 순화어로 알맞은 것은?,대문기둥,E,잠김상자,문막이널,곁꾼,"메쌓기(토),
건성쌓기(건)",대문기둥,대한건설단체총연합회
미다시콘쿠리의 순화어로 알맞은 것은?,치장 콘크리트,E,견제,"거죽두께, 덮임두께",벽돌쌓기,재,치장 콘크리트,대한건설단체총연합회
미쓰모리의 순화어로 알맞은 것은?,"견적(見積), 어림셈",A,"견적(見積), 어림셈","반자틀, 반잣대",이어치기,"배합(配合),
섞음푼수","양판문, 양널문",대한건설단체총연합회
미즈카에의 순화어로 알맞은 것은?,물푸기,D,비계목,"거듭비비기
다시비비기",흙막이,물푸기,나무틀,대한건설단체총연합회
미즈누키의 순화어로 알맞은 것은?,수평 띠장,C,작은각목,잠수부(潛水夫),수평 띠장,"틀, 골",두장(쌓기),대한건설단체총연합회
미즈네리의 순화어로 알맞은 것은?,"물비빔, 물반죽",C,흙뜨기,"추렴, 주식","물비빔, 물반죽",원척도(原尺圖),꽂이 쇠,대한건설단체총연합회
미즈모리의 순화어로 알맞은 것은?,수평보기,C,모래,팔 푼 널,수평보기,현장식당,눈금,대한건설단체총연합회
미즈미가키의 순화어로 알맞은 것은?,물갈기,C,"적산(積算),포갬셈",띠장재,물갈기,입방미터(㎥),"무늬, 바탕",대한건설단체총연합회
미즈시메의 순화어로 알맞은 것은?,물다짐,A,물다짐,"모따기, 모접기","망체, 그물체",오 푼 널,품셈,대한건설단체총연합회
미즈키리의 순화어로 알맞은 것은?,물끊기,D,"바닥, 마루","물막이 공, 마감",접자,물끊기,"끌어들임줄(선), 들줄",대한건설단체총연합회
바타카의 순화어로 알맞은 것은?,작은각목,D,"침하(沈下),
내려앉기","속임(수), 야바위",짐꾸리기,작은각목,칠 푼 널,대한건설단체총연합회
바라시의 순화어로 알맞은 것은?,"뜯기, 해체",D,이어치기,비계띠장,칠 푼 널,"뜯기, 해체",본뜨기,대한건설단체총연합회
바루의 순화어로 알맞은 것은?,"노루발 장도리,
쇠지레",B,외줄비계,"노루발 장도리,
쇠지레","망체, 그물체",틈막이 자갈,"너트, 암나사",대한건설단체총연합회
반네루의 순화어로 알맞은 것은?,"판때기, 패널",D,도맡기,"마름질,
나무마름질","희롱, 놀림","판때기, 패널","정, 끌",대한건설단체총연합회
반센의 순화어로 알맞은 것은?,굵은철선/쇠줄,C,갈아감기,자갈수멍,굵은철선/쇠줄,"줄눈흙손, 사춤인두",띠철근,대한건설단체총연합회
뼁끼의 순화어로 알맞은 것은?,"페인트, 칠, 양칠",A,"페인트, 칠, 양칠",빈틈,처마홈통,"바룸돌, 다듬은돌",가장자리,대한건설단체총연합회
보루반의 순화어로 알맞은 것은?,틀송곳,A,틀송곳,"중턱, 둑턱",통나무,큰직각자,"윤지우기, 윤끄기",대한건설단체총연합회
뵤코의 순화어로 알맞은 것은?,리벳구멍,E,"가득, 한껏","현장배합, 현장섞기",지렛대,앞지르기,리벳구멍,대한건설단체총연합회
뵤우치의 순화어로 알맞은 것은?,"리벳치기,
버섯못치기",D,"끌어들임줄(선), 들줄",본뜨기,"막쌓기, 허튼쌓기","리벳치기,
버섯못치기",바꾸기,대한건설단체총연합회
부가카리의 순화어로 알맞은 것은?,품셈,A,품셈,고르기,"메쌓기(토),
건성쌓기(건)","축도(築島), 임시섬",혹두기,대한건설단체총연합회
사게후리의 순화어로 알맞은 것은?,다림추,B,혹두기,다림추,"초보자, 풋내기",홈통,중도리,대한건설단체총연합회
사칸의 순화어로 알맞은 것은?,미장이,C,임시죄기,지붕,미장이,"채비, 준비",출역(出役),대한건설단체총연합회
사비도메의 순화어로 알맞은 것은?,녹막이,B,고르기,녹막이,구멍철판,"막돌, 호박돌","분배, 나눔, 노늠",대한건설단체총연합회
사비도메누리의 순화어로 알맞은 것은?,녹막이 칠,D,적중,평방미터(㎡),"배합(配合),
섞음푼수",녹막이 칠,말뚝,대한건설단체총연합회
사시가네의 순화어로 알맞은 것은?,"미레자, 곱자,
곡척",B,달대,"미레자, 곱자,
곡척","세로줄눈, 세로사춤",깔도리,"속임(수), 야바위",대한건설단체총연합회
사시코미의 순화어로 알맞은 것은?,꽂이 쇠,D,배반,우선지급,"마름질,
나무마름질",꽂이 쇠,공간 쌓기,대한건설단체총연합회
사시킨의 순화어로 알맞은 것은?,삽입근,D,건널목,"바닥, 마루",기초콘크리트,삽입근,먹줄치기,대한건설단체총연합회
사이의 순화어로 알맞은 것은?,재,B,손비비기,재,산,"갈아내기, 갈기",수평보기,대한건설단체총연합회
사이세키의 순화어로 알맞은 것은?,"부순돌, 쇄석",E,갈고리(hook),나사못,"변통, 둘러치기",나사,"부순돌, 쇄석",대한건설단체총연합회
사이세키바의 순화어로 알맞은 것은?,채석장(採石場),E,자,장남감,지붕보,띠장재,채석장(採石場),대한건설단체총연합회
사카마키의 순화어로 알맞은 것은?,"거꿀씌움
역 라이닝",C,"속임(수), 야바위",한 치 각,"거꿀씌움
역 라이닝","막돌, 호박돌","줄눈파기,사춤파기",대한건설단체총연합회
산바시의 순화어로 알맞은 것은?,발판,D,"담합, 짬짜미","초보자, 풋내기",잔다듬(기),발판,"심보, 본색",대한건설단체총연합회
산슨카쿠(산슨각)의 순화어로 알맞은 것은?,세치(9cm)각재,A,세치(9cm)각재,"초보자, 풋내기",처마홈통,한장(쌓기),"금형, 쇠거푸집",대한건설단체총연합회
삿보도의 순화어로 알맞은 것은?,"받침대, 지주,
동바리",D,"윤지우기, 윤끄기",나무벽돌,깔도리,"받침대, 지주,
동바리",선틀,대한건설단체총연합회
샤쿠리의 순화어로 알맞은 것은?,홈파기,E,"부본(副本), 덧벌, 베낌벌",펴고르기,"계단참, 층계참",모접기,홈파기,대한건설단체총연합회
세와야쿠의 순화어로 알맞은 것은?,십장,D,강모래,자,쇠침목,십장,미끄럼 막이,대한건설단체총연합회
세키이타의 순화어로 알맞은 것은?,"흙막이널(방죽널),
거푸집널",A,"흙막이널(방죽널),
거푸집널",수평보기,"발판, 비계","너비, 폭",삼 육,대한건설단체총연합회
세키산의 순화어로 알맞은 것은?,"적산(積算),포갬셈",C,가장자리,"줄치기, 줄쳐보기","적산(積算),포갬셈",물갈기,물다짐,대한건설단체총연합회
세키자이의 순화어로 알맞은 것은?,"석재(石材), 돌",E,"칸델라, 호롱불",밑면,체질,"산뜻이, 시원스럽게, 깨끗이","석재(石材), 돌",대한건설단체총연합회
세키훈의 순화어로 알맞은 것은?,돌가루,C,"막쌓기, 허튼쌓기",물푸기,돌가루,육 푼 널,밑면,대한건설단체총연합회
센반의 순화어로 알맞은 것은?,갈이틀,E,물끊기,"뜯기, 해체","흙쌓기, 흙돋우기",물갈기,갈이틀,대한건설단체총연합회
센칸의 순화어로 알맞은 것은?,잠김상자,C,재칠,"금형, 쇠거푸집",잠김상자,"현장배합, 현장섞기",산,대한건설단체총연합회
센토루의 순화어로 알맞은 것은?,무지개 거푸집,B,"물막이 공, 마감",무지개 거푸집,굵은철선/쇠줄,비계목,여유,대한건설단체총연합회
소보리의 순화어로 알맞은 것은?,온통파기,E,쇠메,늘이기,구멍철판,거푸집널(판),온통파기,대한건설단체총연합회
스나의 순화어로 알맞은 것은?,모래,B,"줄눈흙손, 사춤인두",모래,잠수부(潛水夫),"경사, 물매",못,대한건설단체총연합회
스리가라스의 순화어로 알맞은 것은?,젖빛유리,E,각재(角材),끝마구리,"받침목, 침목(枕木)","반자틀, 반잣대",젖빛유리,대한건설단체총연합회
스미다시의 순화어로 알맞은 것은?,먹매김,A,먹매김,재벌칠,"굄재(chair), 굄감",재,나무벽돌,대한건설단체총연합회
스미우치의 순화어로 알맞은 것은?,먹줄치기,D,철사,리벳구멍,한치오푼각,먹줄치기,달대,대한건설단체총연합회
스미키리의 순화어로 알맞은 것은?,"모따기, 모접기",C,"흙막이널(방죽널),
거푸집널","정, 강철끌","모따기, 모접기","변통, 둘러치기",흙밭,대한건설단체총연합회
스베리도메의 순화어로 알맞은 것은?,미끄럼 막이,B,외줄비계,미끄럼 막이,나사돌리개(드라이버),"배합(配合),
섞음푼수",리벳구멍,대한건설단체총연합회
스에구치의 순화어로 알맞은 것은?,끝마구리,E,처마반자,"붉은벽돌,
빨강벽돌",삽입근,물끊기,끝마구리,대한건설단체총연합회
스지시바의 순화어로 알맞은 것은?,줄떼,A,줄떼,송곳닛돌,본뜨기,우두머리,얼룩빼기,대한건설단체총연합회
스테이시의 순화어로 알맞은 것은?,"사석, 베풂돌",E,달대,"가로, 옆",한치두푼각,다림추,"사석, 베풂돌",대한건설단체총연합회
스테콘구리의 순화어로 알맞은 것은?,"밑창콘크리트
버림콘크리트",D,외줄비계,눈금,"부순돌, 쇄석","밑창콘크리트
버림콘크리트",틈막이 자갈,대한건설단체총연합회
슨포의 순화어로 알맞은 것은?,치수,C,외줄비계,헛간,치수,벽돌쌓기,기준틀,대한건설단체총연합회
시로토의 순화어로 알맞은 것은?,"초보자, 풋내기",D,"도금, 올림, 입힘",널(판),세 치 각,"초보자, 풋내기",세로,대한건설단체총연합회
시마이의 순화어로 알맞은 것은?,"마감, 끝냄",C,돌쌓기,"졸대, 나무오리","마감, 끝냄",받침대,큰보,대한건설단체총연합회
시메키리의 순화어로 알맞은 것은?,"물막이 공, 마감",A,"물막이 공, 마감",철사,"정, 끌",온통파기,먹매김,대한건설단체총연합회
시스이반의 순화어로 알맞은 것은?,문막이널,E,다짐,"묶음줄, 결속선",송곳,"붉은벽돌,
빨강벽돌",문막이널,대한건설단체총연합회
시아게의 순화어로 알맞은 것은?,"마무리, 끝손질,
뒷손질",B,임시조립,"마무리, 끝손질,
뒷손질",작은각목,뒷길이,창틀,대한건설단체총연합회
시요쇼의 순화어로 알맞은 것은?,"시방서, 방법서",B,장남감,"시방서, 방법서",곡괭이,흠,"너비, 폭",대한건설단체총연합회
시키나라시의 순화어로 알맞은 것은?,펴고르기,D,문틀,"품삯(노임), 계산, 셈",홈통,펴고르기,다림추,대한건설단체총연합회
시키게타의 순화어로 알맞은 것은?,깔도리,A,깔도리,"벽돌공, 쌓기",미끄럼 막이,"잡석(雜石), 막돌",초인종,대한건설단체총연합회
시타누리의 순화어로 알맞은 것은?,초벌칠(바름),B,"메쌓기(토),
건성쌓기(건)",초벌칠(바름),"가로, 옆",(건설현장근로자),흠,대한건설단체총연합회
시타바의 순화어로 알맞은 것은?,밑면,C,가장자리,함척,밑면,작은보,재벌칠,대한건설단체총연합회
시타지의 순화어로 알맞은 것은?,바탕,E,하도급,칸자,"망체, 그물체","사석, 베풂돌",바탕,대한건설단체총연합회
시타지고시라에의 순화어로 알맞은 것은?,바탕만들기,C,평떼,흙손,바탕만들기,줄기초,띠철근,대한건설단체총연합회
시호코의 순화어로 알맞은 것은?,동바리,D,(건설현장근로자),문틀,돌가루,동바리,각목(角木),대한건설단체총연합회
신즈미의 순화어로 알맞은 것은?,심먹(心墨),B,"미레자, 곱자,
곡척",심먹(心墨),흙막이,흙손,현장식당,대한건설단체총연합회
싯쿠이의 순화어로 알맞은 것은?,회반죽,D,(콘크리트)치기,정벌바름(덧칠),녹막이,회반죽,구멍철판,대한건설단체총연합회
쓰키가타메의 순화어로 알맞은 것은?,다짐,C,벽돌,납땜,다짐,"받침쇠, 와셔
(washer)","난간, 난간끝,
난간머리",대한건설단체총연합회
쓰기메의 순화어로 알맞은 것은?,이음매,D,"나눠내기, 각자부담, 추렴","채움재, 채움감",말뚝박기,이음매,우선지급,대한건설단체총연합회
쓰키보의 순화어로 알맞은 것은?,다짐대,A,다짐대,두 치 각,기초콘크리트,십장,"각재, 모나무",대한건설단체총연합회
쓰리바시의 순화어로 알맞은 것은?,줄다리,D,곁꾼,중도리,우선지급,줄다리,초인종,대한건설단체총연합회
쓰리아시바의 순화어로 알맞은 것은?,"달비계, 매단비계",C,헛간,"무늬, 바탕","달비계, 매단비계","3mm합판,
1푼합판",갈고리(hook),대한건설단체총연합회
쓰리기의 순화어로 알맞은 것은?,달대,E,깬돌,온통파기,적중,"사석, 베풂돌",달대,대한건설단체총연합회
쓰루하시의 순화어로 알맞은 것은?,곡괭이,C,"채움재, 채움감",적층합판(積層合板),곡괭이,"찰 쌓 기(토)
사춤쌓기(건)",내관,대한건설단체총연합회
쓰마의 순화어로 알맞은 것은?,가장자리,E,거푸집,(콘크리트)치기,사 푼 널,비계다리,가장자리,대한건설단체총연합회
쓰미의 순화어로 알맞은 것은?,"벽돌공, 쌓기",C,문틀선,내관,"벽돌공, 쌓기",비탈끝,두치오푼각,대한건설단체총연합회
쓰보보리의 순화어로 알맞은 것은?,"구덩이 파기,
굿파기",E,"끌어들임줄(선), 들줄","동강(나무),
끄트러기, 자투리","환풍기,송풍기",버릇,"구덩이 파기,
굿파기",대한건설단체총연합회
쓰야게시의 순화어로 알맞은 것은?,"윤지우기, 윤끄기",B,"품삯(노임), 계산, 셈","윤지우기, 윤끄기",차양(遮陽),기둥,뒷길이,대한건설단체총연합회
쓰야다시의 순화어로 알맞은 것은?,"윤내기, 광내기",E,"발판, 비계","도금, 올림, 입힘","졸대, 나무오리",씻은자갈,"윤내기, 광내기",대한건설단체총연합회
아나반의 순화어로 알맞은 것은?,구멍철판,D,세우기,"줄눈, 사춤",비계띠장,구멍철판,두장(쌓기),대한건설단체총연합회
아테반의 순화어로 알맞은 것은?,"리벳홀더, 받침판",D,호박돌,눈금,임시조립,"리벳홀더, 받침판",작은보,대한건설단체총연합회
아라이다시의 순화어로 알맞은 것은?,씻어내기,B,쇠메,씻어내기,"양판문, 양널문",미장이,선술,대한건설단체총연합회
아라이쟈리의 순화어로 알맞은 것은?,씻은자갈,D,"축도(築島), 임시섬","품삯(노임), 계산, 셈",물푸기,씻은자갈,"줄눈대,사춤대",대한건설단체총연합회
아미후루이의 순화어로 알맞은 것은?,"망체, 그물체",A,"망체, 그물체",온통파기,"기계비빔, 틀반죽",흙밭,산자갈,대한건설단체총연합회
아바라킨의 순화어로 알맞은 것은?,"배철근, 스터럽
(stirrup)",B,구멍철판,"배철근, 스터럽
(stirrup)",치장 콘크리트,본기둥,"거듭비비기
다시비비기",대한건설단체총연합회
아시바의 순화어로 알맞은 것은?,"발판, 비계",B,구멍철판,"발판, 비계",칸막이,"리벳홀더, 받침판","밑창콘크리트
버림콘크리트",대한건설단체총연합회
아시바마루타의 순화어로 알맞은 것은?,비계목,D,깔도리,"묶음줄, 결속선",수도꼭지,비계목,"거듭비비기
다시비비기",대한건설단체총연합회
아시바이타의 순화어로 알맞은 것은?,"발판널, 비계널",A,"발판널, 비계널","바꾸기, 바꿔대기","기울기, 물매",두치오푼각,"윤지우기, 윤끄기",대한건설단체총연합회
아이바의 순화어로 알맞은 것은?,"맞댐면, 접합면",E,갈고리(hook),토분먹임,"환풍기,송풍기",덤핑(입찰의),"맞댐면, 접합면",대한건설단체총연합회
아카렌가의 순화어로 알맞은 것은?,"붉은벽돌,
빨강벽돌",E,삼 육,재손질,나무틀,곡괭이,"붉은벽돌,
빨강벽돌",대한건설단체총연합회
야네의 순화어로 알맞은 것은?,지붕,E,늘이기,"가득, 한껏",반장(쌓기),막자갈,지붕,대한건설단체총연합회
야네부키의 순화어로 알맞은 것은?,지붕이기,C,외쪽깎기,흙막이,지붕이기,두치오푼각,"리벳홀더, 받침판",대한건설단체총연합회
야리가타의 순화어로 알맞은 것은?,기준틀,E,모접기,세 치 각,"양판문, 양널문","담합, 짬짜미",기준틀,대한건설단체총연합회
야리나오시의 순화어로 알맞은 것은?,"다시하기,
고쳐하기",D,거푸집널(판),휜철근,"터파기, 골파기","다시하기,
고쳐하기",우두머리,대한건설단체총연합회
야마의 순화어로 알맞은 것은?,산,C,"갓돌, 턱돌",납땜,산,말뚝,버팀대,대한건설단체총연합회
nan의 순화어로 알맞은 것은?,사태(沙汰),E,철근,"정, 강철끌","면박, 핀잔",삼 육,사태(沙汰),대한건설단체총연합회
야마도메의 순화어로 알맞은 것은?,흙막이,B,"마른비빔, 건비빔",흙막이,"흙쌓기, 흙돋우기",반침,공간 쌓기,대한건설단체총연합회
야마스나의 순화어로 알맞은 것은?,산모래,A,산모래,홈통,송곳닛돌,펴고르기,비계공,대한건설단체총연합회
야마자리의 순화어로 알맞은 것은?,산자갈,A,산자갈,씻어내기,다짐,뒤채움돌,단높이,대한건설단체총연합회
야스리의 순화어로 알맞은 것은?,줄,D,체질,재,"막쌓기, 허튼쌓기",줄,고르기,대한건설단체총연합회
야이타의 순화어로 알맞은 것은?,"널 말뚝(토)
흙막이널(건)",D,"무늬, 바탕",선술,반장(쌓기),"널 말뚝(토)
흙막이널(건)","리벳치기,
버섯못치기",대한건설단체총연합회
야초의 순화어로 알맞은 것은?,"야장(野帳),
땅재기책",A,"야장(野帳),
땅재기책",임시조립,쇠메,"거듭비비기
다시비비기","균열, 갈림",대한건설단체총연합회
엔토쓰의 순화어로 알맞은 것은?,굴뚝,A,굴뚝,채석장(採石場),"틀, 울거미, 테","다짐바닥, 토방",물다짐,대한건설단체총연합회
오가네의 순화어로 알맞은 것은?,큰직각자,B,벽,큰직각자,"도금, 올림, 입힘",쇠침목,선홈통,대한건설단체총연합회
오도리바의 순화어로 알맞은 것은?,"계단참, 층계참",E,"현장배합, 현장섞기",줄기초 파기,자갈,솔칠,"계단참, 층계참",대한건설단체총연합회
오리마게뎃킨의 순화어로 알맞은 것은?,휜철근,A,휜철근,"줄치기, 줄쳐보기",미장이,"선심, 호기","부순돌, 쇄석",대한건설단체총연합회
오리자쿠의 순화어로 알맞은 것은?,접자,B,큰직각자,접자,"돋움대, 발판대",한장(쌓기),검정,대한건설단체총연합회
오바리의 순화어로 알맞은 것은?,큰보,D,수레,"줄눈, 사춤",널(판),큰보,모접기,대한건설단체총연합회
오비키의 순화어로 알맞은 것은?,멍에,C,벽,기초콘크리트,멍에,바탕만들기,재벌바름,대한건설단체총연합회
오비킨의 순화어로 알맞은 것은?,띠철근,C,심먹(心墨),빈틈,띠철근,차양(遮陽),기둥나누기,대한건설단체총연합회
오사마리의 순화어로 알맞은 것은?,"아무림, 마무리",D,미장이,마구리 쌓기,"현장콘크리트말뚝(토)
제자리콘크리트말뚝(건)","아무림, 마무리",비계다리,대한건설단체총연합회
오사에의 순화어로 알맞은 것은?,누름,E,"토사(土砂), 흙모래","기울기, 물매",못,굴뚝,누름,대한건설단체총연합회
오사에콘쿠리의 순화어로 알맞은 것은?,누름콘크리트,B,"변통, 둘러치기",누름콘크리트,초벌칠(바름),내관,"채움재, 채움감",대한건설단체총연합회
오시다시쓰미의 순화어로 알맞은 것은?,내쌓기,C,"보(토목), 도리(건축)",공시체(供試體),내쌓기,물끊기,"줄눈대,사춤대",대한건설단체총연합회
오시이레의 순화어로 알맞은 것은?,반침,A,반침,"기울기, 물매",다짐대,"말이, 사리",웃창,대한건설단체총연합회
오야가타의 순화어로 알맞은 것은?,우두머리,E,물다짐,받침대,거푸집,송곳닛돌,우두머리,대한건설단체총연합회
오야지의 순화어로 알맞은 것은?,책임자,D,두 치 각,"부순돌, 쇄석","선심, 호기",책임자,"시방서, 방법서",대한건설단체총연합회
오가네의 순화어로 알맞은 것은?,큰직각자,A,큰직각자,"리벳홀더, 받침판",배근(配筋),여유,강자갈,대한건설단체총연합회
오이코시의 순화어로 알맞은 것은?,앞지르기,D,"마감, 끝냄","아무림, 마무리",네 치 각,앞지르기,천장,대한건설단체총연합회
와리이시의 순화어로 알맞은 것은?,깬돌,E,"끌어들임줄(선), 들줄","돌붙임, 붙임돌",재,흙손,깬돌,대한건설단체총연합회
와쿠의 순화어로 알맞은 것은?,"틀, 울거미, 테",E,리벳구멍,비계공,임시물막이,"산뜻이, 시원스럽게, 깨끗이","틀, 울거미, 테",대한건설단체총연합회
요모리의 순화어로 알맞은 것은?,덤돋우기(더돋기),D,뒤채움돌,"달비계, 매단비계",상자,덤돋우기(더돋기),길이쌓기,대한건설단체총연합회
요비린의 순화어로 알맞은 것은?,초인종,E,적층합판(積層合板),판자집,"사석, 베풂돌","통줄눈, 통사춤",초인종,대한건설단체총연합회
요코의 순화어로 알맞은 것은?,"가로, 옆",D,버팀대,"돋움대, 발판대",중도리,"가로, 옆",자갈,대한건설단체총연합회
우라코미의 순화어로 알맞은 것은?,뒤채움,B,길이쌓기,뒤채움,돌망태,흙막이,"바룸돌, 다듬은돌",대한건설단체총연합회
우라코메이시의 순화어로 알맞은 것은?,뒤채움돌,C,굵은철선/쇠줄,"풋내기, 애숭이, 신출내기",뒤채움돌,강모래,"금긋개, 금쇠",대한건설단체총연합회
우마의 순화어로 알맞은 것은?,"돋움대, 발판대",E,문바퀴,장남감,다림추,"풋내기, 애숭이, 신출내기","돋움대, 발판대",대한건설단체총연합회
우메타테의 순화어로 알맞은 것은?,메우기,A,메우기,통나무,기둥,창선반,각목(角木),대한건설단체총연합회
우메모도시의 순화어로 알맞은 것은?,되메우기,A,되메우기,"너트, 암나사","받침목, 침목(枕木)",초벌칠(바름),벽,대한건설단체총연합회
우와누리의 순화어로 알맞은 것은?,정벌바름(덧칠),C,함척,잔다듬(기),정벌바름(덧칠),처마,못,대한건설단체총연합회
nan의 순화어로 알맞은 것은?,정벌칠(덧칠),D,창호 철물,줄기초 파기,뒤채움돌,정벌칠(덧칠),공시체(供試體),대한건설단체총연합회
우치쓰기메의 순화어로 알맞은 것은?,시공이음,A,시공이음,처마홈통,칸자,건널목,책꽂이,대한건설단체총연합회
우치노리의 순화어로 알맞은 것은?,"안목, 안치수",E,책임자,공시체(供試體),씻어내기,"난간, 난간끝,
난간머리","안목, 안치수",대한건설단체총연합회
우치쓰기의 순화어로 알맞은 것은?,이어치기,D,"다시하기,
고쳐하기",현장식당,서까래,이어치기,책임자,대한건설단체총연합회
우치코미의 순화어로 알맞은 것은?,(콘크리트)치기,A,(콘크리트)치기,"돌붙임, 붙임돌","환풍기,송풍기",반장(쌓기),쌍줄비계,대한건설단체총연합회
우케토리의 순화어로 알맞은 것은?,하도급,D,"돌림띠, 쇠시리",문막이널,"각재, 모나무",하도급,동바리,대한건설단체총연합회
우케오이의 순화어로 알맞은 것은?,도맡기,A,도맡기,창선반,처마높이,펴고르기,막자갈,대한건설단체총연합회
우키이시의 순화어로 알맞은 것은?,(들)뜬돌,D,"도금, 올림, 입힘",밑면,라이닝(lining),(들)뜬돌,갈이틀,대한건설단체총연합회
유카의 순화어로 알맞은 것은?,"바닥, 마루",D,십장,"판때기, 패널",잠수부(潛水夫),"바닥, 마루",죄개,대한건설단체총연합회
이누바시리의 순화어로 알맞은 것은?,"중턱, 둑턱",A,"중턱, 둑턱","무늬, 바탕","미레자, 곱자,
곡척","겹이음(토), 겹침","마름질,
나무마름질",대한건설단체총연합회
이타의 순화어로 알맞은 것은?,널(판),B,두겁대,널(판),나무벽돌,"줄치기, 줄쳐보기",틀송곳,대한건설단체총연합회
이모노의 순화어로 알맞은 것은?,"주물, 무쇠붙이",A,"주물, 무쇠붙이",상자,턱솔,버팀대,늘이기,대한건설단체총연합회
이모메지의 순화어로 알맞은 것은?,"통줄눈, 통사춤",E,"풋내기, 애숭이, 신출내기","세로줄눈, 세로사춤",송곳,"물비빔, 물반죽","통줄눈, 통사춤",대한건설단체총연합회
이시와리의 순화어로 알맞은 것은?,"돌나누기, 돌벼름",A,"돌나누기, 돌벼름",먹줄치기,기둥,덤돋우기(더돋기),누름,대한건설단체총연합회
이시쓰미의 순화어로 알맞은 것은?,돌쌓기,A,돌쌓기,반장(쌓기),"판때기, 패널",곁꾼,"상태, 가락",대한건설단체총연합회
이치마이의 순화어로 알맞은 것은?,한장(쌓기),A,한장(쌓기),꺾쇠,"말이, 사리","틀, 골",함석(판),대한건설단체총연합회
이치부베니아의 순화어로 알맞은 것은?,"3mm합판,
1푼합판",E,"마무리, 끝손질,
뒷손질",비계띠장,여유,땅고르기,"3mm합판,
1푼합판",대한건설단체총연합회
자가네의 순화어로 알맞은 것은?,"받침쇠, 와셔
(washer)",B,말뚝,"받침쇠, 와셔
(washer)","희롱, 놀림",책임자,사 푼 널,대한건설단체총연합회
잣세키의 순화어로 알맞은 것은?,"잡석(雜石), 막돌",B,반장(쌓기),"잡석(雜石), 막돌","모따기, 모접기","계단참, 층계참","제비뽑기, 추첨",대한건설단체총연합회
자리의 순화어로 알맞은 것은?,자갈,D,통나무,평떼,"바닥, 마루",자갈,두치오푼각,대한건설단체총연합회
자바라의 순화어로 알맞은 것은?,"돌림띠, 쇠시리",C,"만회, 되돌림","요철, 울퉁불퉁","돌림띠, 쇠시리","메쌓기(토),
건성쌓기(건)","뿜칠, 뿜어붙이기",대한건설단체총연합회
자카고의 순화어로 알맞은 것은?,돌망태,B,철근,돌망태,재벌칠,고르기,시멘트풀칠,대한건설단체총연합회
젠다이의 순화어로 알맞은 것은?,창선반,C,창호 철물,잔다듬(기),창선반,검정,"거친면, 채석면",대한건설단체총연합회
조기의 순화어로 알맞은 것은?,자,D,"만회, 되돌림",나무틀,받침대,자,"침하(沈下),
내려앉기",대한건설단체총연합회
조반의 순화어로 알맞은 것은?,경첩,E,뒤채움,재,기다림,"덮개, 씌우개, 포장",경첩,대한건설단체총연합회
즈리의 순화어로 알맞은 것은?,버력,A,버력,송곳,"만회, 되돌림","바닥, 마루",눈먹임,대한건설단체총연합회
지나라시의 순화어로 알맞은 것은?,땅고르기,A,땅고르기,자,"틀, 골","3mm합판,
1푼합판",밑면,대한건설단체총연합회
진카의 순화어로 알맞은 것은?,"침하(沈下),
내려앉기",B,비계목,"침하(沈下),
내려앉기",칠 푼 널,지붕,나사,대한건설단체총연합회
하리의 순화어로 알맞은 것은?,보,C,홈통,십장,보,"바닥, 마루","견적(見積), 어림셈",대한건설단체총연합회
하리가네의 순화어로 알맞은 것은?,철사,B,바꾸기,철사,깔도리,"면박, 핀잔",두겁대,대한건설단체총연합회
하리시바의 순화어로 알맞은 것은?,평떼,D,"심보, 본색",발판,바탕만들기,평떼,"함석, 아연철판",대한건설단체총연합회
하리이시의 순화어로 알맞은 것은?,"돌붙임, 붙임돌",C,사 팔,"마무리, 끝손질,
뒷손질","돌붙임, 붙임돌",빈틈,"갓돌, 턱돌",대한건설단체총연합회
하바의 순화어로 알맞은 것은?,"너비, 폭",A,"너비, 폭",육 푼 널,"너트, 암나사",지렛대,"정, 강철끌",대한건설단체총연합회
하바키의 순화어로 알맞은 것은?,걸레받이,C,외쪽돋기,본기둥,걸레받이,여유,"망체, 그물체",대한건설단체총연합회
하시라의 순화어로 알맞은 것은?,기둥,E,초벌칠(바름),임시조립,가장자리,"뿜칠, 뿜어붙이기",기둥,대한건설단체총연합회
